,SMILES,CID,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
27,COc1ccc(cc1)c1cc(c2c(c1O)C(=O)c1c(ccc(c1C2=O)O)N)N,20826,376.3680000000001,2.713199999999999,103.8914,135.87,3,0.047619047619047616,140,0.20006167231471317,-0.5071563085289882,1166.6488439803445,1.9943056697561352,159.3394250492975
28,Cc1c(c2c(cc1)C(=O)c1ccccc1C2=O)Nc1ccccc1,21062,313.356,4.514020000000002,94.2107,46.17,3,0.047619047619047616,116,0.19611933791172317,-0.35468557493936453,974.3838472218483,1.919033395348114,139.5074931049812
29,CCCCC[C@@H](c1c(cc2c(c1O)C(=O)c1c(cc(cc1C2=O)O)O)O)O,22049,372.37300000000005,2.898100000000003,95.51000000000005,135.29,2,0.3,142,0.20148997746761343,-0.5077973188635515,946.0769052121109,2.1498971003404894,154.6964160482722
30,c1cc(c2c(c1O)C(=O)c1c(ccc(c1C2=O)O)Cl)Cl,23271,309.1039999999999,3.18,73.0986,74.6,2,0.0,100,0.19944035808012137,-0.5071572030313117,666.7462922813075,2.461802657327663,122.73059455906788
31,c1cc2c(c(c1)O)C(=O)c1c(C2=O)cccc1O,2950,240.21399999999997,1.8731999999999993,63.07860000000002,74.6,2,0.0,88,0.20146748032517647,-0.507159053379195,643.4353339687133,2.398930539353599,102.12406210530455
32,CN(C)CCCNC1=C(C(=O)c2ccccc2C1=O)Cl,31108,292.76599999999996,2.0573,79.15570000000002,49.410000000000004,1,0.3333333333333333,106,0.21076326481776592,-0.3804884978349324,578.991174914379,2.1517178655351508,122.9564542441336
33,COC1=C(C(=O)c2ccccc2C1=O)OC,3136,218.20799999999997,1.5699999999999998,56.14700000000003,52.60000000000001,1,0.16666666666666666,82,0.23185173652627938,-0.48949021530437614,454.49515384041945,2.6671352679054676,92.47575627926442
34,Cc1c(c2c(cc1)C(=O)c1ccccc1C2=O)N(=O)=O,31426,267.24,2.6786200000000004,71.14040000000001,77.28,2,0.06666666666666667,98,0.28367781789549806,-0.2885580323121062,792.4556772603133,2.3963188105748605,113.55351243780893
35,CC(C)(C)NC1=CC(=O)c2ccccc2C1=O,31903,229.279,2.3376,66.07470000000002,46.17,1,0.2857142857142857,88,0.20923116594181523,-0.3771589035018082,521.2689018282887,2.4207176194872115,100.52841223265193
36,CCOC1=CC(=O)C(=CC1=O)NC(=O)C,32263,209.20099999999996,0.07859999999999984,51.622700000000016,72.47,0,0.3,80,0.22222177445707814,-0.4896303274731764,378.88362704179656,2.8330908119760703,86.78666655274749
37,CC1=C(C(=O)C(=C(C1=O)Br)C(C)C)Br,34474,321.996,3.1121000000000016,62.432000000000016,34.14,0,0.4,76,0.19738699843418941,-0.2883365610364771,375.58323701647527,3.335887813980057,99.69683225087151
38,c1ccc2c(c1)C(=O)C(=C(C2=O)CCl)CCl,35853,255.09999999999994,2.839800000000001,63.56900000000002,34.14,1,0.16666666666666666,82,0.19092741156533669,-0.28889121648512206,458.4951538404194,2.667135267905467,102.855198274014
39,c1cc2c(C(=O)C=CC2=O)c(c1)O,3806,174.15499999999997,1.3274,45.90780000000001,54.370000000000005,1,0.0,64,0.18994246458735348,-0.5071594958952452,429.79604065379624,2.7569605368382892,74.31301534365345
40,CC1=CC(=O)c2ccccc2C1=O,4055,172.18299999999996,2.0119000000000002,48.86000000000002,34.14,1,0.09090909090909091,64,0.18910709987746413,-0.2892513808302372,427.4713488019866,2.690389534648589,75.88372370585405
41,CCOC1=C(C(=O)c2ccccc2C1=O)Cl,43050,236.654,2.552500000000001,59.60800000000002,43.370000000000005,1,0.16666666666666666,82,0.22950625380715473,-0.4881869956189834,502.74026633825594,2.5846338061698324,97.66547727663921
42,C1=CC(=O)c2c(C1=O)c(c(c(c2O)Cl)Cl)O,4407,259.044,2.3398000000000003,57.59260000000001,74.60000000000001,1,0.0,82,0.1901443618780357,-0.5055217202259886,511.6728364863471,2.935293316455037,99.7137815496128
43,C1=CC(=O)C=CC1=O,4650,108.09599999999998,0.25059999999999993,28.29399999999999,34.14,0,0.0,40,0.178413029551503,-0.28996057425415284,148.70521621571413,2.826476553038486,46.50196858200238
44,c1ccc(cc1)C(=O)NC1=CC(=O)c2ccccc2C1=O,4882,277.279,2.3795,77.09420000000003,63.24,2,0.0,102,0.2552650414855681,-0.31852276783467054,775.632046878119,1.895340923012454,120.65220219556991
45,CC(=CC[C@@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)O)C,5208,288.299,2.120400000000001,76.5704,94.83000000000001,1,0.25,110,0.19587925291238337,-0.5071545925935498,678.1529058028689,2.4593586171215143,121.40153250224091
46,c1ccc(cc1)CSC1=C(C(=O)c2ccccc2C1=O)Cl,52589,314.793,4.4494000000000025,85.71900000000004,34.14,2,0.058823529411764705,104,0.20589552097579475,-0.28794032739131853,750.395241979826,1.901395247540533,131.36719416416503
47,C1(=C(C(=O)C(=C(C1=O)O)O)O)O,5424,172.092,-0.20659999999999995,34.58119999999999,115.06000000000002,0,0.0,64,0.26917501814732353,-0.5013632406540047,271.9474732050231,3.3164522117132207,65.67890359078642
48,CC1=C(C(=O)C(=C(C1=O)O)OC)O,66556,184.147,0.3862,42.006600000000006,83.83000000000001,0,0.25,70,0.26571692289663806,-0.5037399109437231,347.5458870475451,3.292729104635511,73.9338655446945
49,C1(=C(C(=O)C(=C(C1=O)Cl)O)Cl)O,66604,208.984,1.155,41.029599999999995,74.60000000000001,0,0.0,64,0.2437792377593932,-0.5029534741323864,277.45724820935,3.3164522117132207,76.69696854015776
50,c1ccc(cc1)C(=O)Nc1c2c(c(cc1)Cl)C(=O)c1ccccc1C2=O,6679,361.7840000000001,4.367700000000003,99.15420000000002,63.24,3,0.0,126,0.25517736385048234,-0.3212640076450166,1073.8692303113094,1.8355533252606482,153.97228143190665
51,Cc1ccc(cc1)Nc1c2c(c(cc1)O)C(=O)c1ccccc1C2=O,6680,329.3550000000001,4.2196200000000035,95.87550000000003,66.4,3,0.047619047619047616,122,0.19782070113637754,-0.5071563153217936,1019.811197537405,1.8805845311359677,144.30172685717724
52,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1Br)Br)N,6681,381.02299999999997,3.5692000000000013,79.5614,60.16,2,0.0,94,0.1961726400306106,-0.397192210447794,753.3514509888895,2.4251758065888405,125.61058050920792
53,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1O)O)N,6682,255.22899999999996,1.4554,67.491,100.62,2,0.0,94,0.1978253354884069,-0.5070121189726355,749.3514509888895,2.4251758065888405,107.46395280231727
54,c1ccc2c(c1)C(=O)c1c(C2=O)c(c(cc1Nc1cc(c(cc1)N)S([O])([O])O)S([O])([O])O)N,6689,489.4870000000002,4.025000000000002,118.01609999999998,218.27,3,0.0,170,0.1962146566856183,-0.39766385745913646,1332.1058853069353,1.9670000803396643,189.96015165271885
55,c1ccc(cc1)Oc1cccc2c1C(=O)c1c(C2=O)c(ccc1)Oc1ccccc1,6699,392.41,6.046600000000003,112.78099999999998,52.60000000000001,4,0.0,144,0.19791397945831563,-0.4565753393424789,1159.974292110767,1.598066037663882,172.8768734720543
56,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)N(=O)=O,6704,253.21299999999997,2.3702000000000005,66.4034,77.28,2,0.0,92,0.2808096091526642,-0.2885580354039237,748.8612259932163,2.362254734435531,107.18857032341232
57,c1ccc2c(c1)C(=O)c1c(C2=O)c(ccc1)S([O])([O])O,6713,288.28,2.7895000000000003,69.60780000000003,94.17,2,0.0,100,0.19533909618815062,-0.300539635864721,745.4697496567718,2.3444218900807514,115.6045042349669
